"Index","Model","Delta_g"
338,"psmathur/model_51",-0.000109999999999999
339,"psmathur/orca_mini_3b",5e-04
340,"pszemraj/pythia-31m-simplepile-lite-2048-scratch-2e",-0.000909999999999966
341,"kwchoi/DPO_mistral_v01_7b_ultra_0130_1k",0.000190000000000023
342,"one-man-army/una-neural-chat-v3-3-P2-OMA",-8.9999999999979e-05
343,"jondurbin/airoboros-7b-gpt4-1.4.1-qlora",0.000240000000000018
344,"jondurbin/airoboros-13b-gpt4-1.4-fp16",4.99999999999945e-05
345,"jondurbin/airoboros-65b-gpt4-1.4-peft",-4.99999999999945e-05
346,"codemateai/CodeMate-v0.1",0.000190000000000023
347,"LeoLM/leo-hessianai-7b-chat-bilingual",0.000329999999999997
348,"ise-uiuc/Magicoder-S-DS-6.7B",0.000350000000000017
349,"PocketDoc/Dans-PileOfSets-Mk1-llama-13b-merged",3.99999999999845e-05
350,"PocketDoc/Dans-AdventurousWinds-7b",-3.99999999999845e-05
351,"PocketDoc/Dans-CreepingSenseOfDoom",0.000170000000000003
352,"PocketDoc/Dans-PersonalityEngine-30b",-7.00000000000145e-05
353,"postbot/emailgen-pythia-410m-deduped",-0.000379999999999991
354,"postbot/distilgpt2-emailgen",-0.00113999999999997
355,"postbot/gpt-neo-1.3B-emailgen",-7.00000000000145e-05
356,"postbot/gpt2-medium-emailgen",-0.000749999999999973
357,"v1olet/v1olet_marcoroni-go-bruins-7B",-8.9999999999979e-05
358,"The-Face-Of-Goonery/HuginnV5.5-12.6B",-6.00000000000045e-05
359,"vibhorag101/llama-2-13b-chat-hf-phr_mental_therapy",0.00053000000000003
360,"vibhorag101/llama-2-7b-chat-hf-phr_mental_health-2048",0.000300000000000022
361,"nnethercott/llava-v1.5-7b-hf-vicuna",0.000259999999999982
362,"huangyt/Mistral-7B-v0.1-Open-Platypus_2.5w-r16-gate_up_down",-8.9999999999979e-05
363,"HuggingFaceH4/starchat-beta",0.000230000000000008
364,"HWERI/pythia-70m-deduped-cleansharegpt-en",-0.00107000000000002
365,"HWERI/pythia-1.4b-deduped-sharegpt",0.000140000000000029
366,"Charlie911/vicuna-7b-v1.5-general-temporal-merged",0.000259999999999982
367,"Charlie911/vicuna-7b-v1.5-lora-timedial-unit-080091",0.000230000000000008
